,Player,Season,Team,Tournament-fullname,Tournament,Apps,Mins,Cross,Corner,Throughball,Freekick,Throwin,Other,Total_Assists,Rating
165,Mats Hummels,2016/2017,Bayern Munich,Germany-Bundesliga,GB,27,2181,-,-,-,-,-,1,1,7.32
166,Mats Hummels,2016/2017,Bayern Munich,Europe-UEFA-Champions-League,UCL,9,651,-,-,-,-,-,-,-,7.09
167,Mats Hummels,2015/2016,Borussia Dort..,Germany-Bundesliga,GB,30,2496,1,-,-,-,-,1,2,7.34
168,Mats Hummels,2015/2016,Borussia Dort..,Europe-UEFA-Europa-League,UEL,10,829,-,-,1,-,-,-,1,7.45
169,Mats Hummels,2014/2015,Borussia Dort..,Germany-Bundesliga,GB,24,2032,-,-,-,-,-,-,-,7.6
170,Mats Hummels,2014/2015,Borussia Dort..,Europe-UEFA-Champions-League,UCL,4,257,-,-,-,-,-,-,-,6.81
171,Mats Hummels,2016,Germany,International-European-Championship,UEC,4,360,-,-,-,-,-,-,-,7.32
172,Mats Hummels,2013/2014,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,496,-,-,-,-,-,-,-,7.62
173,Mats Hummels,2013/2014,Borussia Dort..,Germany-Bundesliga,GB,23,1962,-,-,2,-,-,-,2,7.71
174,Mats Hummels,2014,Germany,International-FIFA-World-Cup,WC,6,479,-,-,-,-,-,-,-,7.77
175,Mats Hummels,2012/2013,Borussia Dort..,Germany-Bundesliga,GB,28,2376,-,-,1,-,-,2,3,7.4
176,Mats Hummels,2012/2013,Borussia Dort..,Europe-UEFA-Champions-League,UCL,11,889,-,-,-,1,-,-,1,7.31
177,Mats Hummels,2012,Germany,International-European-Championship,UEC,5,450,-,-,-,-,-,-,-,7.42
178,Mats Hummels,2011/2012,Borussia Dort..,Germany-Bundesliga,GB,33,2950,-,-,-,-,-,2,2,7.57
179,Mats Hummels,2011/2012,Borussia Dort..,Europe-UEFA-Champions-League,UCL,6,540,-,-,-,-,-,-,-,7.01
180,Mats Hummels,2010/2011,Borussia Dort..,Germany-Bundesliga,GB,32,2835,-,-,-,-,-,1,1,7.25
181,Mats Hummels,2009/2010,Borussia Dort..,Germany-Bundesliga,GB,30,2522,-,-,1,-,-,-,1,7.35
