,Player,Tournament-fullname,Tournament,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
215,Wilder Cartagena,"Mexico-Primera-Division""><span class=""ui-icon country flg-mx""></span>Primera Division</a></td>   <td>12(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Primera Division,12(1),,-,,-,-,,,,,-
216,Jesús Gallardo,"North-amp-Central-America-CONCACAF-Champions-Cup""><span class=""ui-icon country flg-cna""></span>CONCACAF Champions Cup</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CONCACAF Champions Cup,2,,-,,-,-,,,,,-
217,Jesús Gallardo,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/972/Show/Mexico-Mexico""><span> Mexico</span></a></td>   <td>4</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Mexico,4,,-,,-,-,,,,,-
218,Jesús Gallardo,"Mexico-Primera-Division""><span class=""ui-icon country flg-mx""></span>Primera Division</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Primera Division,2,,1,,-,-,,,,,-
219,Ahmed Khalil,"U-A-E-1-Division""><span class=""ui-icon country flg-ae""></span>1. Division</a><a class=""team-link info"" href=""/Teams/5128/Show/U-A-E-Al-Jazira""><span> Al-Jazira</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division Al-Jazira,1,,-,,-,-,,,,,-
220,Ahmed Khalil,"U-A-E-1-Division""><span class=""ui-icon country flg-ae""></span>1. Division</a></td>   <td>4(5)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">4	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,4(5),,4,,-,-,,,,,-
221,Ahmed Khalil,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a><a class=""team-link info"" href=""/Teams/5126/Show/U-A-E-Shabab-Al-Ahli-Dubai-FC""><span> Shabab Al-Ahli Dubai FC</span></a></td>   <td>1(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League Shabab Al-Ahli Dubai FC,1(1),,-,,-,-,,,,,-
222,Ahmed Khalil,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/2041/Show/U-A-E-U-A-E-""><span> U.A.E.</span></a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly U.A.E.,2,,1,,-,-,,,,,-
223,Kosuke Nakamura,"Japan-J-League""><span class=""ui-icon country flg-jp""></span>J- League</a></td>   <td>34</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">1	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",J- League,34,,-,,1,-,,,,,-
224,Kosuke Nakamura,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/986/Show/Japan-Japan""><span> Japan</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Japan,1,,-,,-,-,,,,,-
225,Kosuke Nakamura,"Japan-Cup""><span class=""ui-icon country flg-jp""></span>Cup</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Cup,2,,-,,-,-,,,,,-
226,Naomichi Ueda,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,1,,-,,-,-,,,,,-
227,Naomichi Ueda,"Japan-J-League""><span class=""ui-icon country flg-jp""></span>J- League</a></td>   <td>29</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">3	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">3	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",J- League,29,,3,,3,-,,,,,-
228,Naomichi Ueda,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/986/Show/Japan-Japan""><span> Japan</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Japan,1,,-,,-,-,,,,,-
229,Naomichi Ueda,"Japan-Super-Cup""><span class=""ui-icon country flg-jp""></span>Super Cup</a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Super Cup,1,,-,,-,-,,,,,-
230,Karim Hafez,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/944/Show/Egypt-Egypt""><span> Egypt</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Egypt,1,,-,,-,-,,,,,-
231,Karim Hafez,"France-Coupe-de-la-Ligue""><span class=""ui-icon country flg-fr""></span>Coupe de la Ligue</a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Coupe de la Ligue,1,,-,,-,-,,,,,-
232,Karim Hafez,"France-Coupe-de-France""><span class=""ui-icon country flg-fr""></span>Coupe de France</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Coupe de France,2,,-,,-,-,,,,,-
233,Karim Hafez,"Belgium-Play-Off""><span class=""ui-icon country flg-be""></span>Play Off</a><a class=""team-link info"" href=""/Teams/123/Show/Belgium-Lierse""><span> Lierse</span></a></td>   <td>3</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">2	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Play Off Lierse,3,,1,,2,-,,,,,-
234,Karim Hafez,"France-Ligue-2""><span class=""ui-icon country flg-fr""></span>Ligue 2</a></td>   <td>18(2)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">2	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">5	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Ligue 2,18(2),,2,,5,-,,,,,-
235,Ali Gholizadeh,,Int. Friendly,2,,2,,-,-,,,,,-
236,Fran Karacic,,Prva HNL,25(1),,1,,5,-,,,,,-
237,Sergio Peña,"Spain-Segunda-División""><span class=""ui-icon country flg-es""></span>Segunda División</a></td>   <td>14(5)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">1	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">3	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Segunda División,14(5),,1,,3,-,,,,,-
238,Sergio Peña,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/416/Show/Peru-Peru""><span> Peru</span></a></td>   <td>0(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Peru,0(1),,-,,-,-,,,,,-
239,Érick Gutiérrez,"North-amp-Central-America-CONCACAF-Champions-Cup""><span class=""ui-icon country flg-cna""></span>CONCACAF Champions Cup</a></td>   <td>5</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",CONCACAF Champions Cup,5,,-,,-,-,,,,,-
240,Érick Gutiérrez,"Mexico-Primera-Division""><span class=""ui-icon country flg-mx""></span>Primera Division</a></td>   <td>14(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">4	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Primera Division,14(1),,4,,-,-,,,,,-
241,Érick Gutiérrez,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/972/Show/Mexico-Mexico""><span> Mexico</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Mexico,1,,-,,-,-,,,,,-
242,Dylan Bronn,"Belgium-Cup""><span class=""ui-icon country flg-be""></span>Cup</a></td>   <td>2(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Cup,2(1),,-,,-,-,,,,,-
243,Dylan Bronn,"Belgium-Jupiler-League""><span class=""ui-icon country flg-be""></span>Jupiler League</a></td>   <td>10</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">2	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Jupiler League,10,,-,,2,-,,,,,-
244,Dylan Bronn,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/959/Show/Tunisia-Tunisia""><span> Tunisia</span></a></td>   <td>3</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Tunisia,3,,-,,-,-,,,,,-
245,Abdullah Al-Khaibari,"Saudi-Arabia-1-Division""><span class=""ui-icon country flg-sa""></span>1. Division</a></td>   <td>15(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">2	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",1. Division,15(1),,-,,2,-,,,,,-
246,Abdullah Al-Khaibari,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/494/Show/Saudi-Arabia-Saudi-Arabia""><span> Saudi Arabia</span></a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Saudi Arabia,2,,-,,-,-,,,,,-
247,Majid Hosseini,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League,2,,-,,-,-,,,,,-
248,Majid Hosseini,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/1293/Show/Iran-Iran""><span> Iran</span></a></td>   <td>1</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Iran,1,,-,,-,-,,,,,-
249,Ricardo Ávila,,Int. Friendly,1(1),,-,,-,-,,,,,-
250,Yosuke Ideguchi,"Spain-Segunda-División""><span class=""ui-icon country flg-es""></span>Segunda División</a></td>   <td>1(4)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">1	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Segunda División,1(4),,-,,1,-,,,,,-
251,Yosuke Ideguchi,"Japan-J-League""><span class=""ui-icon country flg-jp""></span>J- League</a><a class=""team-link info"" href=""/Teams/2395/Show/Japan-Gamba-Osaka""><span> Gamba Osaka</span></a></td>   <td>29(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">4	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">3	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",J- League Gamba Osaka,29(1),,4,,3,-,,,,,-
252,Yosuke Ideguchi,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/986/Show/Japan-Japan""><span> Japan</span></a></td>   <td>0(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Japan,0(1),,-,,-,-,,,,,-
253,Yosuke Ideguchi,"Asia-AFC-Champions-League""><span class=""ui-icon country flg-cas""></span>AFC Champions League</a><a class=""team-link info"" href=""/Teams/2395/Show/Japan-Gamba-Osaka""><span> Gamba Osaka</span></a></td>   <td>5</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",AFC Champions League Gamba Osaka,5,,-,,-,-,,,,,-
254,Ian Smith,,Scottish League 2,3(5),,-,,-,-,,,,,-
255,Edson Álvarez,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/972/Show/Mexico-Mexico""><span> Mexico</span></a></td>   <td>2(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Mexico,2(1),,-,,-,-,,,,,-
256,Edson Álvarez,"Mexico-Primera-Division""><span class=""ui-icon country flg-mx""></span>Primera Division</a></td>   <td>3</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Primera Division,3,,-,,-,-,,,,,-
257,Edson Álvarez,"International-World-Championship-U-20""><span class=""ui-icon country flg-cint""></span>World Championship U-20</a><a class=""team-link info"" href=""/Teams/2311/Show/Mexico-Mexico-U20""><span> Mexico U20</span></a></td>   <td>2</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",World Championship U-20 Mexico U20,2,,-,,-,-,,,,,-
258,Daniel Arzani,"International-Int-Friendly""><span class=""ui-icon country flg-cint""></span>Int. Friendly</a><a class=""team-link info"" href=""/Teams/328/Show/Australia-Australia""><span> Australia</span></a></td>   <td>0(1)</td><td class=""minsPlayed   ""><span class=""not-available"">N/A</span>	</td><td class=""goal   "">-	</td><td class=""assistTotal   ""><span class=""not-available"">N/A</span>	</td><td class=""yellowCard   "">-	</td><td class=""redCard   "">-	</td><td class=""shotsPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""passSuccess   ""><span class=""not-available"">N/A</span>	</td><td class=""aerialWonPerGame   ""><span class=""not-available"">N/A</span>	</td><td class=""manOfTheMatch   ",Int. Friendly Australia,0(1),,-,,-,-,,,,,-
